-26.53 -545.47 19.4579 -26.1835
583.07 33.47 -0.3593 -0.2732
388.22 148.76 14.9843 -18.0185
355.20 265.37 17.8022 -22.0353
568.97 40.29 -1.7016 1.1452
557.78 -195.90 9.4086 -10.3810
424.24 -166.61 7.9137 -8.6206
-97.38 307.25 16.7125 -20.4088
271.87 109.27 19.0094 -24.6040
-104.24 381.69 12.1617 -13.1966
16.71 -182.73 21.0740 -25.9842
367.86 394.31 18.4955 -27.1838
278.32 499.71 19.2019 -27.4911
-178.64 -480.19 18.2756 -22.8983
468.32 97.74 7.4663 -8.6124
-260.26 -53.95 10.6262 -14.2096
11.84 241.55 20.1644 -24.8352
526.26 199.27 7.3417 -7.8622
-130.36 209.18 17.6746 -22.5916
267.12 -137.79 9.0090 -9.4485
-23.40 -426.60 19.4874 -27.2680
-394.60 -151.87 2.7840 -3.7929
415.20 -32.28 5.5842 -6.1154
249.52 318.95 19.6774 -26.0401
306.62 -491.10 18.2958 -22.5357
-380.60 374.81 11.3200 -15.4689
195.17 521.23 18.9813 -24.5966
-27.91 -570.28 19.4739 -28.7025
146.13 -395.22 18.2671 -21.1780
-546.68 -129.74 10.7665 -15.7532
246.88 239.61 19.7797 -25.2315
36.33 -335.54 19.3604 -23.2520
119.23 95.70 18.3851 -19.4967
571.02 -149.88 7.2506 -8.0651
-128.34 42.90 11.4815 -11.9994
84.01 262.95 20.3071 -27.7527
-462.18 -113.45 7.6241 -12.3036
5.71 35.50 22.1641 -26.7443
-493.99 329.58 12.1317 -15.0739
27.32 -255.31 19.7759 -23.4599
-111.27 260.27 17.6789 -23.9959
-42.30 366.41 16.4098 -19.0087
-81.17 -145.02 21.1917 -24.9942
-248.21 178.46 10.9094 -13.1331
249.86 -261.14 12.8541 -13.7114
-387.36 299.10 8.8253 -10.2403
86.42 360.00 19.4139 -25.4436
-226.76 185.11 12.7965 -16.0672
31.82 -345.91 19.4095 -23.5131
-245.87 91.39 10.3173 -12.9459
385.02 18.07 12.1362 -14.1577
75.53 -322.66 18.6343 -21.4545
507.40 254.86 12.0533 -13.1970
171.41 401.80 19.5348 -26.4213
306.05 166.13 18.4896 -25.3648
-137.37 -291.48 18.5263 -23.2480
